Name,Rank,Fire Department,Date of Death,Location on Memorial
Thomas R. Kelly,Lieutenant,New York City Fire Department,09/11/2001,16 Bottom
Thomas Roberts,Lieutenant,New York City Fire Department,10/24/1869,17 Bottom
Thomas Rutledge,Firefighter,Sound Beach Fire Department,01/01/1970,  8 Bottom
Thomas R. Van Doran ,Battalion Chief ,New York City Fire Department ,11/13/2012,  3 Top
Thomas S. Coppinger,Battalion Chief,New York City Fire Department,12/26/1902,13 Bottom
"Thomas Secovnie, Jr.",Firefighter,Schodack Landing Fire Department,01/01/1982,12 Top
Thomas S. Finn,Firefighter,New York City Fire Department,08/01/1932,20 Top
Thomas Simpson,Firefighter,Nanuet Fire Engine Company,06/22/1957,  7 Bottom
Thomas Staab,Firefighter,Oceanside Fire Department,12/07/1958,13 Top
Thomas Sullivan,Ladderman,Rochester Fire Department,10/31/1922,  6 Top
Thomas Sullivan,Captain,Buffalo Fire Department,06/29/1936,18 Top
"Thomas T. Haskell, Jr.",Battalion Chief,New York City Fire Department,09/11/2001,  6 Bottom
Thomas Toner,Firefighter,Geneva Fire Department,07/05/1943,10 Bottom
Thomas Ward,Hoseman,Albany Fire Department,10/18/1902,13 Bottom
Thomas W. Cokeley,Firefighter,New York City Fire Department,02/29/1952,14 Top
Thomas W. Kelly,Firefighter,New York City Fire Department,09/11/2001,17 Top
Thomas Yeates,Lieutenant,Buffalo Fire Department,03/22/1970,  9 Bottom
Timothy B. Higgins,Lieutenant,New York City Fire Department,09/11/2001,19 Bottom
Timothy Cotter,Firefighter,New York City Fire Department,06/06/1910,  5 Bottom
Timothy E. Coughlin,Lieutenant,New York City Fire Department,10/28/1929,  4 Top
Timothy F. O’Leary,Lieutenant,New York City Fire Department,01/01/1958,13 Top
Timothy J. Gray,Firefighter,New York City Fire Department,12/07/1970,  8 Bottom
Timothy J. Lamere,Assistant Chief,Constable Fire Department,08/21/2012,  8 Bottom
Timothy J. Lynch,Firefighter,Manlius Fire Department,03/07/2002,  8 Bottom
"Timothy J. Warren, III",Firefighter,Geneva Fire Department,02/15/1997,10 Top
Timothy M. Goff,Firefighter,Kenmore Fire Department,05/27/1997,10 Top
Timothy M. Stackpole,Captain,New York City Fire Department,09/11/2001,20 Bottom
Timothy M. Welty,Firefighter,New York City Fire Department,09/11/2001,21 Top
Timothy P. McSweeney,Firefighter,New York City Fire Department,09/11/2001,15 Bottom
Timothy S. Haskell,Firefighter,New York City Fire Department,09/11/2001,20 Top
Timothy T. Gunther ,Firefighter ,Poughkeepsie Fire Department ,05/05/2015,  2 Top
Tobias Miller    ,Firefighter    ,Poughkeepsie Fire Department     ,11/14/1950,20 Top
Toby Stockman,Firefighter,Friendship Fire Department,01/01/1976,  8 Top
Todd Smith,Firefighter,New Paltz Fire Department,02/06/2005,21 Bottom
Tomasz M. Kaczowka,Firefighter,West Webster Fire Department,12/24/2012,12 Bottom
Vanclive A. Johnson ,Firefighter ,New York City Fire Department ,08/22/2003,  1 Top
Vernon A. Richard,Captain,New York City Fire Department,09/11/2001,20 Top
Vernon F. Bump,Firefighter,Gloversville Fire Department,12/20/1975,  8 Top
Vernon F. Edwards,Firefighter,Coram Fire Department,05/01/1930,12 Bottom
Vernon P. Cherry,Firefighter,New York City Fire Department,09/11/2001,20 Bottom
Victor M. Gabriel,Firefighter,Stockport Fire Company,04/24/1979,  9 Top
Victor Prokop,Lieutenant,New York City Fire Department,01/17/1962,12 Bottom
Vincent A. Iaccino     ,Captain    ,Roosevelt Fire Department       ,04/12/2010,  2 Top
Vincent A. Princiotta,Firefighter,New York City Fire Department,09/11/2001,  8 Bottom
Vincent A. Schmitt,Firefighter,New York City Fire Department,01/06/1945,15 Top
Vincent Brier,Firefighter,Deer Park Fire Department,01/01/1961,12 Bottom
Vincent C. Innella,Firefighter,Sparrowbush Engine Company,01/15/1979,  9 Top
Vincent D. Kane,Fire Marshal,New York City Fire Department,09/11/2001,16 Bottom
"Vincent D. Meegan, Jr.",Firefighter,Buffalo Fire Department,12/24/1993,10 Top
Vincent E. Brunton,Captain,New York City Fire Department,09/11/2001,15 Bottom
Vincent F. Giammona,Captain,New York City Fire Department,09/11/2001,10 Bottom
Vincent Fowler,Captain,New York City Fire Department,06/04/1999,11 Top
Vincent G. Halloran,Lieutenant,New York City Fire Department,09/11/2001,  8 Bottom
Vincent Herbert,Ex-Chief,Oceanside Fire Department,04/29/1962,12 Bottom
Vincent I. Dineen,1st Assistant Chief,Islip Fire Department,12/04/1982,20 Top
Vincent J. Albanese ,Firefighter ,New York City Fire Department ,07/31/2010,19 Bottom
Vincent Janczewski,Firefighter,New York City Fire Department,11/12/1958,13 Top
Vincent J. McGill,Captain,New York City Fire Department,12/25/1955,14 Top
Vincent J. Schiavoni,Ex-Captain,Sag Harbor Fire Department,10/20/1941,  7 Bottom
"Vincent J. Tancredi, II ",Lieutenant ,New York City Fire Department ,08/08/2008,19 Top 
Vincent Laurence,Firefighter,New York City Fire Department,08/20/1955,14 Top
Vincent Morana,Firefighter,Buffalo Fire Department,01/01/1961,12 Bottom
Vincent R. Ungaro ,Captain ,New York City Fire Department ,10/01/2016,18 Top
Vincent S. Morello,Firefighter,New York City Fire Department,09/11/2001,  6 Bottom
Virginia A. Spinelli ,Firefighter ,New York City Fire Department ,12/19/2011,  6 Bottom
Walter A. Ernst,Firefighter,East Meadow Fire Department,05/30/1998,10 Top
Walter A. Jensen,Firefighter,New York City Fire Department,01/05/1946,15 Top
Walter Augustin,Firefighter,Congers Fire Department,11/07/1995,10 Top
"Walter Bozenko, Jr.",Firefighter,New York City Fire Department,05/14/1971,  7 Top
Walter C. Bersig,Captain,New York City Fire Department,06/27/1961,12 Bottom
Walter Cole,Firefighter,Peekskill Fire Department,08/01/1918,  2 Top
Walter E. Ferguson ,Firefighter ,Cronomer Valley Fire Department ,12/20/1946,  1 Top
Walter Farrell,Firefighter,Buffalo Fire Department,02/01/1922,  6 Top
Walter F. Bell,Firefighter,Canton Fire Department,07/03/1955,20 Top
Walter F. Howell,Captain,Binghamton Fire Department,03/03/1914,10 Bottom
Walter F. Ruland,Firefighter,East Moriches Fire Department,01/01/1972,  7 Top
Walter G. Hynes,Captain,New York City Fire Department,09/11/2001,  5 Top
Walter G. Morrison,Firefighter,West Exeter Fire Department,01/01/1981,  9 Top
Walter Hauck,Firefighter,Rochester Fire Department,01/06/1978,  8 Bottom
Walter H. Huhne,Firefighter,Port Chester Fire Department,04/03/1963,  7 Top
Walter Hill,Firefighter,Wantagh Fire Department,07/12/1949,  1 Bottom
Walter H. Kastenhuber,Firefighter,Jamestown Fire Department,06/13/1934,10 Bottom
Walter J. Borek,Firefighter,Yonkers Fire Department,12/06/1986,11 Top
Walter J. Higgins,Battalion Chief,New York City Fire Department,10/17/1966,11 Bottom
"Walter J. Smith, Jr.",Firefighter,New York City Fire Department,06/14/1979,  9 Top
Walter J. Tracey,Firefighter,NYBFU/stationed with FDNY,07/03/1966, 8 Top
Walter Mahoney,Battalion Chief,Buffalo Fire Department,05/04/1939,18 Top
Walter Peters,Firefighter,New Rochelle Fire Department,10/03/1937,10 Bottom
Walter Sandberg,Captain,New York City Fire Department,10/24/1941,17 Top
"Walter Schwinger, Jr.",Captain,Tonawanda Fire Department,11/12/1996,10 Top
Walter T. Clarke,Captain,New York City Fire Department,10/25/1944,16 Top
Walter Torres ,Firefighter ,New York City Fire Department ,12/18/2012,  3 Bottom
Walter Voight ,Firefighter ,New York City Fire Department ,02/02/2004,21 Bottom
Walter W. Chadwick,Firefighter,New York City Fire Department,03/26/1950,15 Top
Warren H. Kenyon,Hoseman,Albany Fire Department,05/06/1935,19 Top
Warren R. Ogburn,Firefighter,White Plains Fire Department,02/24/1993,10 Top
Wayland A. Estes,Firefighter,New York City Fire Department,11/12/1892,14 Bottom
Wayne E. Smith,Captain,New York City Fire Department,10/04/1994,10 Top
Wayne Rosen,Firefighter,Akron Fire Department,06/22/1999,  2 Bottom
Welles R. Crowther,Firefighter,Nyack Fire Department,09/11/2001,  3 Top
Wellington Hackett,Firefighter,New York City Fire Department,12/15/1932,21 Top
Wilbur A. Ritter,Firefighter,Sayville Fire Department,08/28/2006,12 Bottom
Wilbur J. Dickinson,Lieutenant,Niskayuna District No. 1,02/10/1964,19 Bottom
Wilfredo F. Urbina,Firefighter,Baldwin Fire Department,11/29/2004,  6 Top
Wilfred S. Sanders,Firefighter,Marbletown Fire Department,01/01/1978,  9 Top
William A. Canavan,Firefighter,Yonkers Fire Department,04/29/1959,13 Top
"William Bailey, Jr.",Battalion Chief,Troy Fire Department,04/17/1917,  2 Top
William Baldwin,Captain,New York City Fire Department,01/20/1880,16 Bottom
William B. Brazell,Captain,Schenectady Fire Department,02/07/1966,11 Bottom
William Boland,Division Chief,Buffalo Fire Department,01/06/1957,13 Top
"William Boon, Sr.",1st Assistant Chief,Rochester Fire Department,10/12/1902,13 Bottom
William Bostian,Fire Police Lieutenant,West Webster Fire Department,08/06/2005,   1 Bottom
William Briggs,Ex-Captain,Freeport Fire Department,06/15/1953,20 Top
William Brown,Firefighter,New York City Fire Department,03/25/1905,  2 Bottom
William B. Webb,Chief,Midway Fire Department,05/27/1964,  7 Top
William C. Dugan,Firefighter,East Moriches Fire Department,01/01/1976,  8 Top
William Cessford,Firefighter,Utica Fire Department,07/14/1857,17 Bottom
William C. Gorry,Firefighter,New York City Fire Department,03/10/1960,  7 Bottom
William Clark,Lieutenant,Buffalo Fire Department,05/13/1903,13 Bottom
William Cleator,Firefighter,Rochester Fire Department,11/21/1857,17 Bottom
William Clinton,Firefighter,Buffalo Fire Department,03/13/1911,  5 Bottom
William C. Rinsdale,Battalion Chief,New York City Fire Department,08/01/1971,  7 Top
William Cruickshank,Firefighter,Mamaroneck Fire Department,06/15/1988,11 Top
William C. Seelig,Lieutenant,New York City Fire Department,12/07/1972,  7 Top
William D. Austin,Firefighter,New York City Fire Department,06/17/1947,15 Top
William Devlin,Chief,New York City Fire Department,09/24/1911,  5 Bottom
William Dickman,Driver,Buffalo Fire Department,10/30/1896,14 Bottom
William D. Lake,Firefighter,New York City Fire Department,09/11/2001,  1 Top
William Doyle,Firefighter,New York City Fire Department,01/01/1982,12 Top
William D. Prange,Firefighter,New York City Fire Department,11/09/1976,  8 Top
"William E. Akin, Jr.",Fire Police Captain    ,Ghent Volunteer Fire Company No. 1    ,10/19/2010,12 Top
William Egan,Lieutenant,Syracuse Fire Department,12/09/1951,14 Top
William E. Hughes,Firefighter,Haverstraw Fire Department,01/08/1906,15 Top
William E. Krukowski,Firefighter,New York City Fire Department,09/11/2001,  3 Bottom
William E. Lehmann,Firefighter,New York City Fire Department,08/24/1939,17 Top
William E. McGinn,Captain,New York City Fire Department,09/11/2001,  3 Top
William E. Moreau ,Firefighter ,New York City Fire Department ,03/12/2008,  2 Top
William E. Schalle,Firefighter,New York City Fire Department,01/04/1919,6 Top
William Ewing,Hoseman,Cohoes Fire Department,03/24/1930,   1 Bottom
William E. Woodlon ,Firefighter ,New York City Fire Department ,08/20/2016,20 Bottom
William F. Acquaviva,Deputy Chief,Utica Fire Department,01/15/2001,  6 Bottom
William F. Boon,Lieutenant,Rochester Fire Department,01/28/1902,13 Bottom
William F. Bradley,Firefighter,Troy Fire Department,08/06/1845,19 Bottom
"William F. Burke, Jr.",Captain,New York City Fire Department,09/11/2001,  5 Top
William F. Carlock,Firefighter,New York City Fire Department,08/29/1927,  5 Top
"William F. Carter, Sr.",Firefighter,Alcan Fire Department,11/30/1990,11 Top
William F. Fisher,Driver,Tonawanda Fire Department,01/09/1942,17 Top
William F. Healy,Firefighter,New York City Fire Department,06/06/1910,  5 Bottom
William F. Jeffery,Lieutenant,New York City Fire Department,12/26/1902,13 Bottom
"William F. Kelly, II",Firefighter,New York City Fire Department,12/27/1967,  9 Bottom
William F. Klauck,Captain,New York City Fire Department,03/30/1944,16 Top
William Fletcher,Firefighter,New York City Fire Department,02/03/1925,  5 Top
William F. McCarron,Firefighter,New York City Fire Department,10/17/1966,11 Bottom
William F. McNulty,Firefighter,New York City Fire Department,10/17/1945,16 Top
William F. Mullen,Firefighter,New York City Fire Department,05/04/1900,13 Bottom
William F. Russell,Captain,New York City Fire Department,10/26/1962,12 Bottom
William F. Sellinger,Firefighter,New York City Fire Department,09/18/1921,  6 Top
William F. Stanton,Engineer,New York City Fire Department,10/23/1912,  4 Bottom
"William F. Steffens, Jr.",Engineer,Hillcrest Fire Company No. 1,07/21/1967,  7 Top
William G. Brown,Firefighter,New York City Fire Department,12/06/1955,14 Top
William G. Dusterwald,Division Chief,New York City Fire Department,01/08/1970,  8 Bottom
William G. Schmid,Firefighter,New York City Fire Department,02/14/1958,13 Top
William Harrison,Firefighter,Elmira Fire Department,03/30/1915,  3 Top
William H. Borfitz,Firefighter,Inwood Fire Department,11/05/1942,17 Top
William H. Cadier,Firefighter,Syracuse Fire Department,11/01/1954,14 Top
William H. Carlin,Ladderman,Albany Fire Department,03/03/1883,15 Bottom
William H. Farweather,Firefighter,Middletown Fire Department,11/15/1997,10 Top
William H. Gillett,Firefighter,Buffalo Fire Department,01/25/1865,17 Top
William Hill,Firefighter,Buffalo Fire Department,03/21/1929,  4 Top
William H. Kelly,Firefighter,New York City Fire Department,03/10/1929,  4 Top
"William H. Marshall, Jr.",Captain,Roosevelt Fire Department,02/15/1991,11 Top
William H. Nash,Battalion Chief,New York City Fire Department,09/14/1875,16 Bottom
William H. O’Brien,Firefighter,New York City Fire Department,03/20/1966,11 Bottom
William Hoff,Firefighter,Williston Park Fire Department,01/01/1971,  7 Top
William H. Quick ,Firefighter ,New York City Fire Department ,01/18/2011,17 Top
William H. Rush,Engineer,New York City Fire Department,11/12/1906,  2 Bottom
William H. Smith,Firefighter,La Grange Fire Department,02/27/1988,11 Top
William J. Aeillo,Firefighter,New York City Fire Department,03/30/1923,  6 Top
William J. Brady,Captain,New York City Fire Department,02/08/1952,14 Top
William J. Bryan,Firefighter,New York City Fire Department,09/12/1961,12 Bottom
William J. Chin,Firefighter,New York City Fire Department,10/12/1880,16 Bottom
William J. Chin,Firefighter,New York City Fire Department,01/05/1889,17 Bottom
William J. Christopher,Firefighter,Troy Fire Department,05/01/1922,  6 Top
William J. Dayton,Firefighter,New York City Fire Department,08/13/1905,  3 Bottom
William J. Driscoll,Firefighter,New York City Fire Department,01/28/1941,17 Top
William J. Duffy,Battalion Chief,New York City Fire Department,05/05/1913,  4 Bottom
William J. Dwyer,Firefighter,Cazenovia Fire Department,08/21/1946,10 Bottom
William J. Farrell,Firefighter,New York City Fire Department,08/21/1966,11 Bottom
William J. Ford,Captain,Binghamton Fire Department,10/29/1915,   2 Top
William J. Ford,Firefighter,New York City Fire Department,08/21/1983,12 Top
William J. Gormley ,Firefighter ,New York City Fire Department ,06/14/2017,  3 Top
William J. Guido ,Deputy Chief ,New York City Fire Department ,11/10/2011,  1 Bottom
William J. Hanlon,Firefighter,New York City Fire Department,12/30/1963,12 Bottom
William J. Head,Captain,New York City Fire Department,03/01/1935,19 Top
William J. Hoar,Firefighter,Troy Fire Department,04/18/1917,  2 Top
William J. Kelly ,Lieutenant ,New York City Fire Department ,06/10/2017,  4 Bottom
William J. Mahoney,Firefighter,New York City Fire Department,09/11/2001,  3 Top
William J. McGovern,Battalion Chief,New York City Fire Department,09/11/2001,  1 Bottom
William Jones,Engineer,Buffalo Fire Department,05/06/1922,  6 Top
William J. Robertson,Battalion Chief,Greece-Ridge Fire Department,04/25/1998,10 Top
William J Rodgers,Battalion Chief,Albany Fire Department,11/08/1937,18 Top
William J. Smith,Firefighter,New York City Fire Department,03/24/1900,13 Bottom
"William J. Tripp, Jr.",Firefighter,Richford Fire Department,04/13/2002,6 Top
William J. Walsh,Battalion Chief,New York City Fire Department,01/09/1912,  4 Bottom
William J. Walsh,Firefighter,Troy Fire Department,05/03/1944,16 Top
William J. Wandling,Firefighter,New York City Fire Department,11/16/1946,15 Top
William J. Weiland,Battalion Chief,New York City Fire Department,08/13/1905,  2 Bottom
William Kelley,Captain,Buffalo Fire Department,09/14/1923,  6 Top
William Koch,Firefighter,Lynbrook Fire Department,04/30/1963,11 Bottom
William Koerner,Firefighter,Oceanside Fire Department,03/31/1977,  8 Top
William Korte,Firefighter,Southhampton Fire Department,11/04/1999,20 Top
"William Kostinec, Jr.",Lieutenant,New York City Fire Department,03/22/1932,20 Top
William Kot,Firefighter,New York City Fire Department,04/05/1954,14 Top
William Krattinger,Firefighter,New York City Fire Department,02/16/1882,16 Bottom
William L. Casey,Captain,New York City Fire Department,02/01/1955,14 Top
William Leichsenring,Firefighter,New York City Fire Department,04/18/1924,  5 Top
"William L. Hendrickson, Jr.",1st Assistant Chief,Woodmere Fire Department,03/23/1953,  7 Bottom
William L. Henry,Firefighter,New York City Fire Department,09/11/2001,  4 Top
William L. Moran,Firefighter,New York City Fire Department,06/30/1926,  5 Top
William L. Pratt,Firefighter,New York City Fire Department,08/01/1932,21 Top
William Macan,Firefighter,Endicott Fire Department,03/21/1970,  7 Top
"William Maurer, II",Firefighter,New York City Fire Department,11/02/1912,  4 Bottom
William McEvoy,Firefighter,New York City Fire Department,12/30/1956,13 Top
William McNally,Firefighter,New York City Fire Department,05/05/1903,13 Bottom
William Mellon,Firefighter,Bay Ridge Fire Company,06/19/1997,10 Top
William M. Feehan,1st Deputy Commissioner,New York City Fire Department,09/11/2001,  4 Top
William Michaelsen,Chief,East Norwich Fire Department,09/04/1961,13 Top
William Mohan,Firefighter,Somers Fire Department,01/01/1983,18 Bottom
William Muldoon,Firefighter,Solvay Fire Department,11/20/1969,  7 Top
William Munda,Lieutenant,New York City Fire Department,01/22/1952,14 Top
William Naughton,Lieutenant,Buffalo Fire Department,01/28/1907,  6 Bottom
William N. Hammond,Firefighter,General Electric Fire Department,01/01/1983,12 Top
William N. Tolley,Firefighter ,New York City Fire Department ,04/20/2017,21 Bottom
